Company Name,Latitude,Longitude,Street,City,County,State,Confidence,Original Address
"Hyde Park Environmental Services, Inc.",41.872821,-87.628876,727 S Dearborn St,Chicago,Cook County,IL,High,"727 S Dearborn Street, Suite 312, Chicago, IL"
Hyde Park Hospitality LLC,41.885066,-87.654168,171 N Aberdeen St,Chicago,Cook County,IL,High,"171 N Aberdeen St Fl4R 55, Chicago, IL"
"Hydro-Thermo-Power, Inc.",41.886414,-87.623746,225 N Michigan Ave,Chicago,Cook County,IL,High,"225 N Michigan Ave - Ste 2306, Chicago, IL"
"Hygieneering, Inc.",41.751496,-87.936446,7575 Plaza Ct,Willowbrook,DuPage County,IL,High,"7575 Plaza Court, Willowbrook, IL"
I & T Trucking Co.,41.854412,-87.697762,2859 W Cullerton St,Chicago,Cook County,IL,High,"2859 W Cullerton St, Chicago, IL"
I Care For Seniors L.L.C.,41.665003,-87.663746,12552 S Paulina St,Calumet Park,Cook County,IL,High,"12552 S Paulina St, Calumet Park, IL"
I.G General Contractors LLC,41.91757405,-87.78763602,2033 N Natchez Ave,Chicago,Cook County,IL,High,"2033 N Natchez Avenue, Unit 1S, Chicago, IL"
IAMMAKEISHA LLC,41.875528,-87.721544,3820 W Van Buren St,Chicago,Cook County,IL,High,"3820 W Van Buren St, Chicago, IL"
IBC ENGINEERING SERVICES INC,43.043333,-88.195197,N8 Johnson Dr,Waukesha,Waukesha County,WI,High,"N8 W22195 Johnson Drive, Suite 180, Waukesha, WI"
"IBEX, Inc.",42.0966797,-87.8009033,1732 Wildberry Dr,Glenview,Cook County,IL,High,"1732 Wildberry Dr # H, Glenview, IL"
ICA TRUCKING INC,41.776962,-87.738931,6350 S Knox Ave,Chicago,Cook County,IL,High,"6350 S Knox Avenue, Chicago, IL"
ICAAPS: Illinois Community Action Agency Programs & Services,41.803246,-87.585556,5050 S Lake Shore Dr,Chicago,Cook County,IL,High,"5050 S Lake Shore Drive, 2501s, Chicago, IL"
